ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage
49,1,2,45,1,2,2,15,1,8,2,7,1,1,OZ359,12,40,2,1,52,1,6,8000,40,1,3,,
50,1,3,28,1,1,1,7,9,3,1,2,1,3,,8,30,3,1,45,1,6,11000,90,2,4,4,
51,1,3,53,2,1,1,7,9,3,2,0,1,3,,20,30,3,1,45,2,2,1050,20,12,,,
52,1,3,57,1,1,1,7,9,1,2,3,"1,2",3,,20,30,3,1,50,2,3,,,12,,,
53,1,3,43,2,4,1,4,4,1,2,2,1,3,7C2301,19,35,3,1,,1,5,3700,100,5,2,,
54,1,3,21,2,1,1,4,4,1,2,0,1,3,7C2301,19,35,3,1,,1,5,,,8,,,
55,1,2,67,2,1,1,7,2,1,1,3,1,1,OZ3195,8,30,3,2,,1,4,10000,65,7,4,,
56,1,2,66,1,1,1,6,8,2,1,1,1,1,,20,0,3,1,78,1,1,,,7,2,,
57,1,3,29,1,1,1,6,1,3,2,3,3,2,,15,30,2,1,17,2,4,2000,60,12,,,
58,1,1,30,2,1,1,5,2,5,2,122,1,3,KE643,14,20,2,1,64,2,8,48000,90,12,,,
59,1,2,44,2,2,1,99,1,8,2,4,2,1,OZ349,12,30,2,1,31,1,1,,34,9,4,4,
60,1,3,36,1,1,1,5,1,4,2,3,"1,3",3,,,,2,1,,2,8,,60,1,3,4,
61,1,2,53,1,5,2,7,2,8,2,50,1,3,OZ741,18,30,3,1,75,1,8,,150,2,6,4,
62,1,4,47,1,1,1,2,3,1,2,0,1,2,,5,45,2,1,20,2,2,1050,40,12,,,
63,1,1,27,1,1,2,180,1,5,2,4,3,2,,18,30,3,1,67,2,8,50000,,12,,,
64,1,4,22,2,5,1,5,1,1,2,12,6,2,ZW893,17,45,2,1,19,2,5,,,12,,,
65,1,3,28,1,1,1,6,5,3,2,0,1,3,7C2201,20,5,3,1,38,2,3,1100,20,12,,,
66,1,4,29,2,2,1,20,1,1,2,2,1,1,,19,10,3,1,30,1,5,6900,43,2,1,4,
67,1,1,47,1,1,1,5,2,3,2,3,1,3,KE687,19,0,3,1,,1,5,1200,40,4,5,1,7000
68,1,1,38,1,1,1,4,3,1,2,3,5,2,,,,2,1,,1,2,3000,5,2,3,,
69,1,,58,1,1,3,7,2,4,1,8,5,4,,,,2,1,180,3,2,6000,20,12,,,
70,1,2,39,2,1,1,5,1,1,2,4,"3,6",2,OZ102,9,0,1,1,60,1,6,13000,60,9,3,,
71,1,3,26,2,1,1,5,2,2,2,0,1,3,21,25,1,4,1,,1,5,1300,50,5,2,,
72,1,,23,2,1,1,7,2,3,1,0,1,3,,,,2,1,30,1,5,1050,30,3,2,,
73,1,2,28,1,1,2,3,2,1,2,2,3,2,,,,2,1,,1,5,1150,30,2,3,,
