ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination1,FrequentFlightDestination2,FrequentFlightDestination3,FrequentFlightDestination4,FrequentFlightDestination5,FrequentFlightDestination6,FrequentFlightDestination7,Destination,TotalDepartureHr,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,MileageAirline,FrequentDestination1,FrequentDestination2,FrequentDestination3,FrequentDestination4,FrequentDestination5,FrequentDestination6,FrequentDestination7,MileageAirline1,MileageAirline2,MileageAirline3,MileageAirline4,MileageAirline5,Income
113,1,1,39,1,1,2,9,1,3,2,1,0,1,0,0,0,0,0,4,11.5,3,1,100,2,8,3000,60,12,5,0,1,0,0,0,0,0,0,0,0,0,1,8
114,1,4,30,1,1,2,2,1,6,2,3,1,0,0,0,0,0,0,3,15.25,2,1,60,3,2,1200,290,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
115,1,3,36,1,1,1,3,3,2,2,3,0,0,1,0,0,0,0,3,19.58,3,1,30,2,3,1100,39,12,5,0,0,1,0,0,0,0,0,0,0,0,1,8
116,1,1,31,1,1,1,5,1,1,2,0,1,0,0,1,0,0,0,3,19,3,1,62,1,6,10000,60,2,1,1,0,0,1,0,0,0,1,0,0,0,0,4
117,1,3,30,1,1,1,4,3,1,2,2,0,0,1,0,0,0,0,3,19.58,3,2,44.57,2,8,6595,90,2,1,0,0,1,0,0,0,0,1,0,0,0,0,5
118,1,1,36,1,1,2,150,0,5,2,3,0,0,0,1,0,0,0,4,21.58,4,1,150,2,2,4600,10,12,5,0,0,0,1,0,0,0,0,0,0,0,1,8
119,1,2,31,2,1,1,15,2,8,2,0,0,0,1,0,0,0,0,2,21,4,1,27.12,1,1,8400,180,2,5,0,0,1,0,0,0,0,0,0,0,0,1,3
120,1,2,37,2,1,1,5,4,3,1,2,0,0,1,0,0,0,0,1,20,3,1,41,1,6,12000,90,3,2,0,0,1,0,0,0,0,0,1,0,0,0,2
121,1,1,43,1,1,2,9,2,3,2,1,0,1,1,0,0,0,0,4,19.5,3,1,120,1,6,12642,76,2,5,0,1,1,0,0,0,0,0,0,0,0,1,3
122,1,3,45,1,1,1,5,1,4,2,1,1,1,0,0,0,0,0,3,19.58,3,1,35,2,8,10600,155,12,5,1,1,0,0,0,0,0,0,0,0,0,1,8
123,1,1,42,2,1,1,5,3,1,1,0,1,0,0,0,0,0,0,3,5.67,2,1,50,2,2,2400,10,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
124,1,2,44,1,1,4,10,0,1,2,2,1,0,0,0,0,0,0,3,19.83,3,1,55,1,6,9000,40,2,4,1,0,0,0,0,0,0,0,0,0,1,0,8
125,1,4,55,1,1,2,5,1,8,2,2,0,1,0,0,0,0,0,1,20.08,3,1,53.17,1,6,8400,180,2,5,0,1,0,0,0,0,0,0,0,0,0,1,8
126,1,4,52,1,1,2,5,1,2,2,3,0,1,0,0,0,0,0,1,20.08,3,1,53.17,1,5,3175,39,2,5,0,1,0,0,0,0,0,0,0,0,0,1,4
127,1,1,50,1,1,1,365,2,8,1,0,0,1,0,0,0,0,0,2,20.92,3,1,26.43,1,9,8400,180,2,4,0,1,0,0,0,0,0,0,0,0,1,0,8
128,1,4,69,2,1,1,12,2,1,2,2,1,0,0,0,0,0,0,4,22,4,2,71.33,1,1,6595,60,9,5,1,0,0,0,0,0,0,0,0,0,0,1,7
129,1,1,30,1,1,1,6,2,1,1,4,0,0,0,0,1,0,0,4,18,3,1,134.57,1,2,11000,30,2,1,0,0,0,0,1,0,0,1,0,0,0,0,3
130,1,2,30,2,1,1,6,2,1,2,0,0,0,0,0,0,0,1,3,20.33,3,1,29.12,1,3,6595,56,2,5,0,0,0,0,0,0,1,0,0,0,0,1,3
131,1,2,32,1,1,1,6,2,1,2,1,0,0,0,0,0,0,1,3,20.33,3,1,29.12,1,3,6595,56,2,5,0,0,0,0,0,0,1,0,0,0,0,1,3
132,1,4,47,2,1,1,4,2,8,1,0,1,0,0,0,0,0,0,3,20.67,3,3,40.4,1,5,2700,40,9,4,1,0,0,0,0,0,0,0,0,0,1,0,8
133,1,1,47,2,1,1,6,2,8,2,0,0,0,0,0,0,0,1,3,20.08,3,1,60.79,3,5,8400,180,2,4,0,0,0,0,0,0,1,0,0,0,1,0,4
134,1,2,47,2,1,1,4,4,1,1,1,1,0,0,0,0,0,0,3,20.5,3,1,29.12,1,5,6595,56,9,5,1,0,0,0,0,0,0,0,0,0,0,1,3
135,1,3,37,1,4,4,99,0,8,2,1,1,0,0,0,0,0,0,3,21.67,4,1,65,2,1,8400,180,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
136,1,4,24,2,1,1,5,2,1,2,2,1,0,0,1,1,0,0,3,8.5,1,1,56,2,2,3300,10,12,5,1,0,0,1,1,0,0,0,0,0,0,1,8
137,1,1,33,1,2,2,10,2,1,2,4,1,1,1,0,0,0,0,1,7.75,3,2,49.83,1,1,10000,56,1,5,1,1,1,0,0,0,0,0,0,0,0,1,2
138,1,1,30,1,1,2,7,1,3,1,9,0,0,0,0,0,1,0,3,20.58,3,1,53,1,9,350000,80,12,1,0,0,0,0,0,1,0,1,0,0,0,0,3
139,1,3,30,1,1,1,6,1,3,2,1,0,0,1,0,0,0,0,3,20.67,3,1,40,1,6,10000,60,2,5,0,0,1,0,0,0,0,0,0,0,0,1,3
140,1,1,50,2,1,1,7,2,3,2,2,1,0,0,0,0,0,0,3,9.75,1,1,60.79,1,1,12642,76,3,5,1,0,0,0,0,0,0,0,0,0,0,1,8
141,1,1,35,1,1,2,6,2,1,2,0,1,0,0,0,0,0,0,4,14.08,2,1,222,2,1,6595,15,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
142,1,2,43,1,1,4,6,7,5,2,2,1,0,0,0,0,0,0,3,7.08,3,1,57,4,2,10000,20,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
143,1,2,27,2,5,1,5,8,8,2,5,0,0,0,0,0,1,0,4,8.17,3,1,14,1,5,8400,120,3,5,0,0,0,0,0,1,0,0,0,0,0,1,2
