ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage,FrequentDestination1,FrequentDestination2,FrequentDestination3,FrequentDestination4,FrequentDestination5,FrequentDestination6,FrequentDestination7,MileageAirline1,MileageAirline2,MileageAirline3,MileageAirline4,MileageAirline5
70,1,2,39,2,1,1,5,1,1,2,4,"3,6",2,OZ102,9,0,1,1,60,1,6,13e3,60,9,3,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
71,1,3,26,2,1,1,5,2,2,2,0,1,3,21,25,1,4,1,NA,1,5,1300,50,5,2,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
72,1,NA,23,2,1,1,7,2,3,1,0,1,3,NA,NA,NA,2,1,30,1,5,1050,30,3,2,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
73,1,2,28,1,1,2,3,2,1,2,2,3,2,NA,NA,NA,2,1,NA,1,5,1150,30,2,3,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
74,1,3,22,2,1,1,7,1,6,2,1,"2,3",3,7C2301,7,35,3,1,24,1,1,NA,NA,8,7,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
75,1,1,34,1,2,2,30,1,5,2,12,2,1,KE607,19,45,3,1,NA,3,4,NA,NA,2,2,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
76,1,2,40,1,1,2,15,1,4,2,3,2,1,OZ365,14,0,2,1,NA,3,2,11e3,10,12,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
77,1,3,22,2,4,3,7,1,6,2,2,1,3,7C2301,7,35,3,1,24,3,8,NA,NA,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
78,1,3,33,1,1,1,6,1,3,2,1,4,3,NA,16,NA,2,1,40,2,5,1050,60,12,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
79,1,3,29,2,1,1,5,0,3,2,1,1,3,NA,16,NA,2,1,40,1,5,1050,60,2,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
80,1,2,43,1,1,1,4,3,1,1,1,1,3,NA,NA,NA,2,1,NA,2,3,NA,NA,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
81,1,4,41,1,1,4,8,10,5,2,5,6,1,NA,13,40,2,2,120,3,1,NA,10,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
82,1,NA,25,2,1,1,5,1,5,1,0,1,3,NA,13,25,2,1,NA,3,2,17e3,NA,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
83,1,NA,27,2,1,1,5,1,5,1,0,1,3,NA,13,25,2,1,NA,3,2,17e3,NA,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
84,1,1,30,1,1,1,5,1,5,2,10,2,3,KE643,14,20,2,1,65,3,1,1800,30,12,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
85,1,2,50,2,1,1,99,1,8,2,0,1,2,OZ134,14,0,2,1,23,1,1,NA,NA,9,5,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
86,1,2,31,1,1,2,30,0,1,2,5,2,1,NA,12,40,2,1,54,1,2,3e3,15,3,3,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
87,1,1,34,1,1,2,99,0,1,2,6,"2,4",1,NA,13,5,2,1,20,1,1,NA,NA,1,7,4,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
88,1,4,47,1,1,1,5,3,1,1,2,1,3,965,13,35,2,1,NA,2,2,13300,45,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
